"region","nom"
"Souss-Massa-Draâ","Tafraout"
"Souss-Massa-Draâ","Taghzout"
"Souss-Massa-Draâ","Tagzen"
"Souss-Massa-Draâ","Taliouine"
"Souss-Massa-Draâ","Tamegroute"
"Souss-Massa-Draâ","Tamraght"
"Souss-Massa-Draâ","Tanoumrite Nkob Zagora"
"Souss-Massa-Draâ","Taourirt ait zaghar"
"Souss-Massa-Draâ","Taroudant"
"Souss-Massa-Draâ","Temsia"
"Souss-Massa-Draâ","Tifnit"
"Souss-Massa-Draâ","Tisgdal"
"Souss-Massa-Draâ","Tiznit"
"Souss-Massa-Draâ","Toundoute"
"Souss-Massa-Draâ","Zagora"
"Tadla-Azilal","Afourar"
"Tadla-Azilal","Aghbala"
"Tadla-Azilal","Azilal"
"Tadla-Azilal","Aït Majden"
"Tadla-Azilal","Beni Ayat"
"Tadla-Azilal","Béni Mellal"
"Tadla-Azilal","Bin elouidane"
"Tadla-Azilal","Bradia"
"Tadla-Azilal","Bzou"
"Tadla-Azilal","Dar Oulad Zidouh"
"Tadla-Azilal","Demnate"
"Tadla-Azilal","Dra'a"
"Tadla-Azilal","El Ksiba"
"Tadla-Azilal","Foum Jamaa"
"Tadla-Azilal","Fquih Ben Salah"
"Tadla-Azilal","Kasba Tadla"
"Tadla-Azilal","Ouaouizeght"
"Tadla-Azilal","Oulad Ayad"
"Tadla-Azilal","Oulad M'Barek"
"Tadla-Azilal","Oulad Yaich"
"Tadla-Azilal","Sidi Jaber"
"Tadla-Azilal","Souk Sebt Oulad Nemma"
"Tadla-Azilal","Zaouïat Cheikh"
"Tanger-Tétouan","Tanger‎"
"Tanger-Tétouan","Tétouan‎"
"Tanger-Tétouan","Akchour"
"Tanger-Tétouan","Assilah"
"Tanger-Tétouan","Bab Berred"
"Tanger-Tétouan","Bab Taza"
"Tanger-Tétouan","Brikcha"
"Tanger-Tétouan","Chefchaouen"
"Tanger-Tétouan","Dar Bni Karrich"
"Tanger-Tétouan","Dar Chaoui"
"Tanger-Tétouan","Fnideq"
"Tanger-Tétouan","Gueznaia"
"Tanger-Tétouan","Jebha"
"Tanger-Tétouan","Karia"
"Tanger-Tétouan","Khémis Sahel"
"Tanger-Tétouan","Ksar El Kébir"
"Tanger-Tétouan","Larache"
"Tanger-Tétouan","M'diq"
"Tanger-Tétouan","Martil"
"Tanger-Tétouan","Moqrisset"
"Tanger-Tétouan","Oued Laou"
"Tanger-Tétouan","Oued Rmel"
"Tanger-Tétouan","Ouezzane"
"Tanger-Tétouan","Point Cires"
"Tanger-Tétouan","Sidi Lyamani"
"Tanger-Tétouan","Sidi Mohamed ben Abdallah el-Raisuni"
"Tanger-Tétouan","Zinat"
"Taza-Al Hoceïma-Taounate","Ajdir‎"
"Taza-Al Hoceïma-Taounate","Aknoul‎"
"Taza-Al Hoceïma-Taounate","Al Hoceïma‎"
"Taza-Al Hoceïma-Taounate","Aït Hichem‎"
"Taza-Al Hoceïma-Taounate","Bni Bouayach‎"
"Taza-Al Hoceïma-Taounate","Bni Hadifa‎"
"Taza-Al Hoceïma-Taounate","Ghafsai‎"
"Taza-Al Hoceïma-Taounate","Guercif‎"
"Taza-Al Hoceïma-Taounate","Imzouren‎"
"Taza-Al Hoceïma-Taounate","Inahnahen‎"
"Taza-Al Hoceïma-Taounate","Issaguen (Ketama)‎"
"Taza-Al Hoceïma-Taounate","Karia (El Jadida)‎"
"Taza-Al Hoceïma-Taounate","Karia Ba Mohamed‎"
"Taza-Al Hoceïma-Taounate","Oued Amlil‎"
"Taza-Al Hoceïma-Taounate","Oulad Zbair‎"
"Taza-Al Hoceïma-Taounate","Tahla‎"
"Taza-Al Hoceïma-Taounate","Tala Tazegwaght‎"
"Taza-Al Hoceïma-Taounate","Tamassint‎"
"Taza-Al Hoceïma-Taounate","Taounate‎"
"Taza-Al Hoceïma-Taounate","Targuist‎"
"Taza-Al Hoceïma-Taounate","Taza‎"
"Taza-Al Hoceïma-Taounate","Taïnaste‎"
"Taza-Al Hoceïma-Taounate","Thar Es-Souk‎"
"Taza-Al Hoceïma-Taounate","Tissa‎"
"Taza-Al Hoceïma-Taounate","Tizi Ouasli‎"
"Laayoune-Boujdour-Sakia-Hamra","Laayoune‎"
"Laayoune-Boujdour-Sakia-Hamra","El Marsa‎"
"Laayoune-Boujdour-Sakia-Hamra","Tarfaya‎"
"Laayoune-Boujdour-Sakia-Hamra","Boujdour‎"
"Oued-Eddahab-Lagouira","Awsard"
"Oued-Eddahab-Lagouira","Oued-Eddahab "
"Tanger-Tétouan","Stehat"
"Tadla-Azilal","Aït Attab"
